food_item,calories_(kcal),protein_(g),carbohydrates_(g),fat_(g)
Chicken Breast,469,35.5,34.6,33.9
Bread,294,44.0,5.9,46.6
Green Tea,524,47.3,67.5,20.3
Cookies,220,29.2,42.8,11.4
Quinoa,172,42.8,18.4,19.4
Orange Juice,184,6.7,73.5,8.8
Spinach,54,19.6,51.9,23.7
Pork Chop,139,44.8,32.1,10.8
Carrot,157,30.8,13.9,24.8
Milkshake,461,2.0,44.3,47.9
Beef Steak,442,21.5,31.7,9.3
Paneer,168,35.2,56.1,34.3
Grapes,389,27.7,74.6,11.0
Salmon,73,42.4,8.4,2.5
Carrot,161,3.9,70.8,48.5
Rice,460,47.1,62.2,37.8
Rice,500,24.1,35.9,43.2
Paneer,402,18.0,71.3,27.3
Bread,130,26.9,69.9,42.2
Pasta,531,46.6,61.6,2.0
Chocolate,413,50.0,67.0,20.4
Chicken Breast,535,43.9,38.1,33.9
Rice,273,21.3,94.3,41.6
Chips,165,36.3,87.9,9.0
Grapes,346,21.1,74.5,20.0
Banana,493,1.5,93.0,5.1
Water,389,26.5,86.2,29.2
Orange,591,16.6,63.5,44.0
Paneer,533,13.2,72.5,20.4
Milk,454,47.0,7.6,13.7
Cheese,256,42.1,53.1,47.4
Chocolate,385,12.9,74.6,26.8
Pork Chop,121,41.0,38.2,15.0
Chocolate,556,11.2,18.1,43.0
Banana,213,46.0,88.8,32.3
Chicken Breast,230,30.5,51.0,9.9
Spinach,82,39.7,38.8,11.6
Chicken Breast,140,30.3,21.4,29.0
Eggs,594,19.3,72.7,33.4
Chips,240,40.6,74.7,4.3
Pasta,426,23.0,7.0,46.5
Cookies,495,29.6,44.2,49.8
Tomato,104,2.4,72.5,28.0
Green Tea,537,37.7,24.3,25.8
Potato,403,34.8,93.8,38.1
Banana,91,48.5,76.1,38.6
Green Tea,84,29.4,67.4,21.2
Chips,301,5.4,23.3,13.5
Popcorn,556,37.3,23.9,36.7
Bread,53,38.3,93.5,2.7
Yogurt,158,40.8,69.0,44.0
Popcorn,124,19.0,42.5,10.7
Rice,565,44.4,64.9,44.5
Cheese,75,12.0,51.4,44.4
Green Tea,337,29.6,57.4,27.8
Yogurt,77,33.0,69.5,4.2
Quinoa,430,12.8,17.7,47.7
Milk,62,42.3,35.2,12.1
Chocolate,348,33.9,5.7,20.6
Pasta,318,46.9,83.7,1.4
Grapes,437,46.2,39.6,46.9
Bread,457,2.8,92.7,25.4
Pasta,217,24.6,29.5,32.1
Milk,403,4.8,41.0,5.3
Strawberry,441,17.7,20.2,49.6
Eggs,401,31.5,21.6,49.3
Paneer,466,9.0,65.8,47.3
Carrot,195,30.4,61.4,35.5
Nuts,256,37.8,43.8,29.4
Green Tea,489,39.7,33.0,10.5
Rice,427,17.9,38.8,10.1
Chips,348,17.9,92.0,22.8
Oats,532,49.9,8.3,32.4
Quinoa,140,45.0,43.7,27.2
Grapes,311,49.2,11.5,48.5
Cookies,140,42.8,37.1,21.4
Tomato,85,42.0,96.9,37.0
Grapes,551,43.3,37.8,17.3
Paneer,367,20.5,32.3,12.4
Bread,454,25.4,41.4,47.4
Yogurt,356,8.1,86.4,19.3
Milk,394,48.4,32.5,13.1
Quinoa,220,27.5,16.8,47.1
Quinoa,84,42.4,78.4,3.5
Broccoli,452,34.6,11.6,26.9
Strawberry,281,22.5,23.3,1.5
Paneer,296,44.3,82.3,17.3
Chips,255,19.3,6.9,13.5
Popcorn,154,22.6,26.1,32.8
Spinach,223,3.5,12.3,29.9
Quinoa,337,42.4,93.0,29.8
Banana,172,44.4,48.2,29.3
Rice,113,15.0,45.3,13.6
Beef Steak,205,14.8,49.8,6.8
Grapes,68,3.8,47.6,17.7
Coffee,114,6.0,85.9,27.0
Quinoa,175,46.3,66.4,44.8
Pasta,381,20.2,9.3,2.5
Green Tea,319,44.4,51.6,19.7
Beef Steak,436,14.4,17.2,41.1
Spinach,285,34.5,29.1,49.7
Green Tea,358,46.2,60.2,9.0
Eggs,171,32.8,84.4,29.1
Butter,435,43.7,70.7,47.0
Tomato,105,25.2,31.5,39.1
Chocolate,170,38.4,50.8,46.5
Banana,578,32.8,73.5,7.7
Green Tea,136,5.9,19.5,19.0
Oats,249,33.6,20.5,25.0
Banana,454,13.4,81.2,5.7
Butter,447,39.4,7.6,36.0
Rice,466,17.3,79.7,11.9
Milk,266,10.1,6.6,38.3
Water,215,14.7,76.4,46.2
Orange Juice,218,43.1,24.3,34.9
Eggs,266,26.7,58.6,46.4
Beef Steak,210,33.8,22.6,32.8
Apple,67,2.4,33.4,20.5
Green Tea,241,13.2,76.7,5.8
Paneer,298,33.7,49.4,47.7
Rice,160,28.5,84.9,46.7
Green Tea,117,8.9,91.7,8.7
Popcorn,190,27.6,30.6,34.0
Grapes,430,27.2,77.4,16.1
Rice,160,42.5,27.5,38.5
Oats,404,35.4,98.3,26.1
Paneer,486,24.7,66.0,9.8
Milk,98,21.4,89.9,23.3
Orange,475,2.3,99.0,22.0
Green Tea,72,22.0,8.8,34.4
Popcorn,436,38.5,22.9,16.8
Rice,292,41.9,78.3,7.1
Tomato,402,45.9,21.4,22.5
Eggs,454,26.8,27.4,42.8
Nuts,251,29.6,63.7,8.6
Pasta,307,40.6,66.0,36.3
Tomato,61,48.5,13.9,42.1
Pasta,525,5.0,38.2,2.8
Green Tea,128,36.9,32.8,22.5
Milkshake,143,11.4,25.4,13.4
Chips,299,47.4,55.6,16.5
Tomato,211,29.7,72.1,20.4
Strawberry,277,7.0,58.9,12.1
Carrot,549,42.7,56.7,11.1
Paneer,87,41.1,99.3,49.3
Eggs,267,31.7,61.6,15.6
Spinach,533,3.0,23.5,20.0
Quinoa,167,31.6,91.9,31.3
Beef Steak,524,36.7,34.0,16.9
Green Tea,210,12.6,62.2,4.6
Pork Chop,305,20.8,16.5,32.8
Chips,223,42.9,59.9,45.0
Butter,257,41.1,41.4,17.1
Tomato,257,33.9,45.5,20.1
Nuts,252,49.6,33.2,46.1
Chocolate,111,11.7,64.9,35.5
Orange,261,49.5,6.4,10.0
Salmon,566,16.5,37.7,25.8
Cheese,138,34.4,7.4,41.1
Rice,505,15.0,57.4,10.4
Banana,560,9.2,40.3,31.1
Strawberry,334,1.9,36.8,1.0
Bread,361,21.3,5.7,48.1
Rice,58,30.7,23.9,41.2
Nuts,183,37.1,13.2,9.6
Carrot,164,48.0,49.4,27.8
Bread,381,4.8,46.9,44.2
Water,555,18.3,42.9,15.7
Popcorn,508,17.8,78.4,43.0
Carrot,338,20.6,39.0,46.0
Butter,484,47.6,51.2,17.5
Chips,474,46.2,93.3,16.1
Rice,492,41.2,94.8,27.4
Strawberry,182,8.6,29.2,42.2
Yogurt,399,33.4,61.5,4.2
Strawberry,582,45.3,23.4,45.4
Chicken Breast,470,26.1,11.9,16.2
Eggs,421,28.8,20.4,14.2
Potato,359,10.3,56.5,21.2
Broccoli,471,12.9,59.1,31.6
Pork Chop,237,13.4,21.0,19.8
Water,469,31.3,25.5,31.7
Pasta,126,9.3,24.2,4.3
Rice,408,17.1,17.1,7.4
Beef Steak,474,34.3,60.5,31.5
Eggs,431,16.5,6.9,43.6
Chips,475,11.6,53.7,6.3
Milk,267,41.2,35.0,32.2
Cheese,120,2.6,59.2,9.9
Coffee,401,12.8,59.0,50.0
Pork Chop,285,39.1,87.5,47.2
Yogurt,146,23.0,84.8,4.7
Yogurt,147,22.4,86.6,40.1
Strawberry,285,24.6,6.0,5.5
Apple,568,13.5,5.7,26.3
Cheese,498,2.5,88.4,17.1
Green Tea,541,14.1,53.7,43.9
Grapes,333,40.4,32.3,31.1
Tomato,557,28.5,17.3,13.0
Coffee,189,38.0,76.9,17.9
Chips,105,12.6,19.2,18.9
Oats,120,10.9,60.1,31.9
Grapes,331,36.7,65.7,35.9
Butter,127,10.6,84.8,40.1
Yogurt,250,28.3,6.2,31.3
Orange,168,31.9,32.5,17.2
Tomato,69,33.2,7.8,8.1
Beef Steak,476,17.8,49.0,3.7
Broccoli,530,31.8,9.6,35.7
Salmon,567,38.9,60.9,24.7
Popcorn,168,26.2,22.9,34.0
Strawberry,172,28.3,91.7,12.2
Broccoli,203,37.7,5.3,39.9
Spinach,111,48.5,77.7,25.8
Chocolate,556,25.8,39.2,32.2
Chicken Breast,160,4.1,88.8,11.1
Rice,403,40.2,48.6,22.6
Pork Chop,475,43.8,57.8,24.6
Apple,277,36.0,13.8,22.1
Oats,227,27.3,44.3,15.8
Coffee,416,12.1,26.1,41.2
Beef Steak,71,31.9,79.3,42.3
Salmon,376,2.5,7.9,36.1
Orange Juice,379,9.5,90.7,21.3
Bread,567,26.5,23.5,46.9
Water,497,43.7,34.7,10.3
Strawberry,310,34.0,56.9,2.4
Bread,426,3.2,98.0,46.9
Broccoli,83,10.6,62.5,31.1
Milkshake,551,43.9,41.8,2.7
Salmon,539,42.3,24.4,5.2
Carrot,541,33.4,99.4,28.1
Orange,108,48.9,61.9,17.7
Orange Juice,352,44.1,78.8,35.2
Cheese,205,5.3,39.8,7.5
Pasta,404,15.3,91.1,41.2
Orange,436,29.7,54.9,38.9
Carrot,233,19.6,10.7,12.8
Apple,445,20.2,90.4,44.1
Quinoa,473,33.0,45.8,24.1
Broccoli,68,26.1,44.7,8.9
Potato,236,37.6,29.6,2.5
Eggs,419,39.2,50.6,11.6
Coffee,581,11.2,55.6,8.4
Chips,455,13.3,42.9,29.1
Beef Steak,432,36.2,16.3,34.7
Quinoa,270,14.9,76.9,46.7
Bread,203,40.8,90.1,48.4
Pasta,272,36.7,68.9,48.0
Coffee,464,17.2,35.7,24.2
Milkshake,313,43.9,37.4,32.5
Water,372,7.6,51.9,11.5
Orange Juice,550,38.0,23.0,4.7
Potato,579,20.9,43.4,41.6
Spinach,60,46.9,74.0,19.5
Butter,463,42.0,9.9,46.5
Strawberry,587,17.6,92.5,1.0
Cookies,443,15.2,39.9,46.1
Beef Steak,74,20.2,61.9,13.9
Broccoli,228,23.8,62.2,33.0
Rice,182,29.2,58.3,28.6
Milk,392,40.0,99.7,38.7
Bread,311,44.8,14.7,3.1
Carrot,263,42.9,55.2,25.8
Grapes,101,37.6,78.2,9.1
Cookies,228,40.6,40.7,41.8
Spinach,551,15.1,87.0,17.6
Pork Chop,97,28.8,46.7,31.2
Broccoli,464,15.9,55.4,38.3
Chips,437,47.7,14.2,31.4
Milk,551,44.8,59.0,14.8
Bread,95,25.9,74.5,12.6
Spinach,255,31.6,75.9,46.0
Beef Steak,316,32.8,47.1,12.7
Coffee,263,45.7,9.2,42.6
Beef Steak,186,35.2,15.6,3.5
Pork Chop,567,12.3,80.9,1.9
Carrot,411,38.6,48.8,24.9
Oats,223,30.3,96.0,46.0
Cheese,532,23.7,36.3,48.5
Grapes,182,34.7,33.1,36.1
Eggs,182,37.8,21.2,36.6
Carrot,103,40.0,18.8,20.5
Paneer,88,3.6,8.4,45.6
Milk,515,27.2,17.3,41.0
Quinoa,363,12.3,11.7,44.5
Orange,212,22.0,48.1,7.6
Chocolate,426,40.4,16.4,16.5
Cheese,531,2.2,5.9,20.3
Orange Juice,211,27.3,56.2,5.5
Quinoa,91,39.5,42.7,38.4
Banana,502,6.1,65.6,5.3
Apple,191,20.5,23.5,37.6
Pasta,313,2.2,84.6,22.9
Cheese,399,25.0,43.2,20.2
Salmon,167,8.7,25.7,23.7
Milkshake,410,17.0,60.0,48.9
Cheese,264,1.0,23.4,42.1
Water,154,50.0,23.9,46.0
Eggs,432,44.2,50.8,45.5
Chicken Breast,52,45.8,48.2,46.1
Nuts,145,10.3,63.4,41.0
Bread,551,28.9,12.3,18.9
Nuts,561,35.4,59.0,23.5
Chicken Breast,236,44.9,84.8,18.6
Broccoli,560,34.6,52.5,30.0
Beef Steak,210,18.7,30.6,2.7
Yogurt,570,22.0,23.6,27.8
Quinoa,197,37.4,28.0,26.0
Yogurt,200,40.6,52.5,12.5
Carrot,534,37.6,67.9,26.8
Quinoa,342,39.0,9.8,13.9
Orange,560,16.7,33.7,39.1
Pasta,431,11.0,17.6,15.8
Eggs,53,48.1,47.1,24.5
Strawberry,266,24.8,73.4,33.7
Quinoa,75,45.2,11.5,45.7
Oats,359,16.0,64.3,1.9
Beef Steak,112,36.1,87.9,19.2
Carrot,133,36.9,37.8,3.8
Pasta,428,14.4,5.8,37.5
Chicken Breast,261,1.6,97.9,1.4
Oats,301,22.1,24.9,38.6
Popcorn,131,18.4,91.3,29.0
Banana,347,3.4,33.7,9.5
Oats,274,29.9,37.9,11.2
Chips,215,22.3,31.3,38.3
Chicken Breast,328,31.4,25.1,18.1
Grapes,304,21.9,87.8,39.3
Eggs,178,46.9,58.1,17.6
Nuts,254,36.7,14.7,5.4
Butter,247,24.1,41.2,14.0
Quinoa,582,16.4,23.5,27.7
Beef Steak,464,45.6,93.8,48.9
Strawberry,376,17.9,51.8,20.0
Bread,522,10.8,51.9,11.1
Grapes,398,39.8,52.0,14.0
Strawberry,412,19.7,31.9,40.5
Popcorn,269,13.6,14.1,3.0
Banana,134,17.1,63.9,21.7
Orange Juice,488,27.5,96.7,19.0
Pasta,143,45.7,38.4,30.9
Paneer,279,12.0,20.0,3.6
Water,350,38.1,20.5,22.7
Salmon,506,1.5,16.7,23.3
Orange,83,24.1,15.8,21.7
Popcorn,379,23.9,55.8,44.4
Carrot,346,46.5,92.5,6.2
Water,288,30.8,85.7,33.3
Eggs,160,37.4,88.9,31.0
Butter,299,11.3,57.9,32.9
Butter,370,10.4,11.7,34.9
Orange,167,34.0,35.5,47.0
Popcorn,401,15.3,91.8,41.6
Coffee,568,18.5,44.3,10.2
Green Tea,117,47.7,99.3,38.8
Milk,220,39.2,70.5,10.8
Beef Steak,231,35.3,96.0,47.8
Milkshake,483,1.2,87.1,25.4
Orange,232,9.0,44.7,47.7
Orange Juice,532,30.7,67.2,18.6
Chocolate,321,6.9,46.4,2.8
Milk,211,16.4,21.6,21.5
Pork Chop,336,26.5,91.5,35.5
Grapes,479,18.8,27.9,15.1
Milk,236,22.4,31.5,24.7
Coffee,355,25.0,99.0,49.4
Green Tea,353,25.0,62.7,16.2
Beef Steak,567,16.3,72.0,7.5
Popcorn,514,46.7,90.5,34.2
Orange Juice,509,23.4,8.5,40.4
Beef Steak,494,34.4,90.6,7.4
Rice,377,43.5,19.8,47.3
Rice,425,35.6,93.5,31.7
Salmon,556,29.3,42.6,2.4
Butter,476,33.9,22.5,31.8
Cheese,323,25.1,60.6,18.4
Strawberry,377,49.2,34.8,26.2
Butter,465,40.2,77.4,46.9
Chocolate,267,4.9,71.3,42.0
Water,98,41.6,84.4,25.2
Chips,216,25.2,86.9,24.1
Quinoa,382,6.0,21.2,34.3
Orange,323,44.9,33.3,48.4
Orange Juice,398,39.6,20.0,36.5
Chips,491,13.6,56.7,5.4
Cookies,52,21.5,18.5,11.8
Oats,211,47.6,91.3,16.0
Paneer,144,17.5,66.4,43.0
Water,235,6.2,63.4,15.9
Green Tea,65,46.2,6.3,37.4
Milkshake,569,13.2,46.8,25.0
Eggs,493,7.7,39.1,31.0
Popcorn,191,6.7,26.2,9.4
Apple,154,22.9,74.3,31.3
Rice,546,1.1,82.8,20.3
Orange Juice,61,22.5,78.9,19.2
Chicken Breast,475,46.8,36.1,8.1
Water,326,16.3,52.7,16.3
Strawberry,98,7.1,69.0,3.2
Grapes,515,47.0,44.9,1.9
Yogurt,348,1.8,16.3,25.0
Eggs,407,1.8,11.3,16.8
Oats,352,7.8,90.6,23.8
Strawberry,480,45.3,64.5,36.0
Butter,453,4.6,29.9,19.0
Yogurt,86,11.2,32.8,37.6
Coffee,290,45.1,25.4,21.2
Spinach,374,11.8,34.6,16.4
Coffee,577,16.2,54.3,16.9
Chips,265,8.2,98.4,5.6
Butter,198,28.8,25.7,45.1
Yogurt,594,11.2,91.8,7.4
Cookies,54,20.8,94.2,26.0
Grapes,535,41.2,63.8,18.0
Orange,522,31.8,82.5,30.2
Pasta,415,44.5,25.4,7.1
Carrot,562,11.4,91.7,4.7
Butter,507,9.6,53.0,12.4
Rice,559,39.9,78.0,48.9
Water,237,5.7,34.9,44.4
Chips,74,41.0,51.3,19.4
Green Tea,164,3.6,41.3,16.8
Strawberry,481,5.6,14.9,9.4
Orange Juice,162,5.1,48.2,23.9
Tomato,444,30.2,44.2,48.9
Cookies,343,8.5,5.4,14.9
Popcorn,502,1.9,21.3,33.5
Quinoa,441,29.4,35.1,17.4
Carrot,342,32.4,24.1,27.5
Chocolate,274,37.0,28.6,48.8
Milk,443,45.7,34.8,46.9
Rice,179,5.7,18.2,27.7
Eggs,174,26.1,97.5,43.7
Popcorn,415,28.4,19.1,37.5
Nuts,578,18.8,89.6,29.0
Pasta,560,34.3,78.2,41.3
Oats,340,33.7,77.1,19.0
Grapes,338,4.4,42.7,21.4
Yogurt,594,32.0,28.3,39.1
Cookies,241,12.2,95.0,33.0
Pasta,235,12.2,67.3,48.7
Chips,340,20.1,31.4,39.7
Pork Chop,531,46.9,48.7,46.9
Tomato,284,7.2,41.8,10.1
Bread,167,1.0,71.1,12.4
Chips,269,10.8,27.4,39.8
Green Tea,485,41.8,71.2,41.2
Milk,53,43.0,48.0,25.7
Strawberry,243,19.8,35.1,5.6
Orange Juice,467,22.1,23.2,4.0
Broccoli,109,27.6,66.9,21.8
Chocolate,244,40.3,40.5,1.0
Milkshake,255,29.6,43.6,47.0
Spinach,194,48.5,97.3,41.9
Broccoli,108,33.9,96.9,6.5
Green Tea,426,47.0,98.8,47.3
Green Tea,363,49.3,40.8,2.3
Pork Chop,449,25.1,50.1,25.6
Orange Juice,260,11.5,54.2,5.2
Quinoa,441,28.7,77.7,45.1
Beef Steak,512,28.8,6.2,9.2
Chicken Breast,192,40.9,95.6,14.9
Apple,556,28.3,19.7,29.7
Coffee,507,8.1,59.9,10.9
Orange Juice,167,11.7,95.4,6.7
Quinoa,543,19.1,49.0,18.8
Cheese,68,39.2,76.0,48.3
Yogurt,286,36.4,81.5,25.1
Water,149,3.3,63.0,7.8
Nuts,244,17.9,7.8,1.5
Apple,223,33.4,85.6,4.7
Coffee,80,44.9,48.3,23.7
Butter,369,44.7,82.3,15.1
Potato,495,7.1,13.6,13.3
Oats,305,49.4,14.7,31.6
Nuts,67,47.3,47.6,30.8
Grapes,423,8.4,12.2,13.2
Potato,221,17.7,37.6,22.7
Chicken Breast,150,39.4,55.9,33.6
Potato,575,12.1,75.7,28.4
Spinach,442,33.2,7.5,12.2
Cheese,184,26.7,49.6,31.9
Pasta,104,44.8,68.1,32.1
Nuts,471,11.9,71.0,46.3
Coffee,502,31.2,26.1,32.1
Tomato,563,30.3,81.2,19.5
Carrot,466,8.7,16.5,18.1
Green Tea,490,4.2,36.0,30.7
Chips,180,46.1,50.7,9.0
Beef Steak,118,19.5,70.4,44.2
Potato,91,30.4,54.8,29.5
Broccoli,451,31.0,46.7,20.5
Chicken Breast,596,43.6,30.1,31.2
Banana,124,5.1,5.3,35.5
Green Tea,135,17.1,52.0,39.3
Grapes,522,22.6,97.2,45.3
Cheese,261,40.8,27.4,35.0
Chips,147,44.4,66.6,48.7
Beef Steak,424,17.4,71.5,41.3
Oats,338,1.2,62.8,33.4
Butter,248,5.3,38.8,30.1
Coffee,336,10.9,29.4,4.1
Coffee,205,47.5,9.2,32.9
Grapes,351,14.8,19.0,47.9
Banana,584,27.5,16.2,38.8
Strawberry,290,4.0,92.6,47.7
Eggs,189,35.4,41.4,27.1
Pork Chop,286,8.7,83.4,25.7
Pork Chop,156,18.3,80.1,48.7
Oats,466,42.0,37.7,37.0
Eggs,591,6.3,14.8,17.5
Quinoa,212,29.1,65.4,1.8
Green Tea,456,17.5,82.8,33.0
Beef Steak,491,42.9,62.6,20.9
Milk,211,14.8,13.7,1.0
Milkshake,424,6.2,57.0,24.2
Quinoa,114,5.7,56.8,26.3
Popcorn,589,3.7,40.6,19.2
Milkshake,476,19.6,66.2,46.3
Rice,536,6.8,52.6,39.7
Nuts,429,24.6,23.9,34.7
Rice,189,26.3,35.2,6.2
Banana,235,8.2,48.0,24.9
Quinoa,307,6.1,99.7,8.1
Bread,180,13.5,64.4,5.2
Milkshake,345,17.5,89.9,11.4
Coffee,533,7.6,39.3,32.0
Grapes,271,31.8,11.0,27.5
Pork Chop,57,34.9,96.3,28.2
Pork Chop,432,12.6,83.9,17.4
Spinach,238,5.3,19.6,47.7
Pork Chop,286,3.2,58.6,44.1
Green Tea,59,13.4,11.9,34.7
Chocolate,426,40.7,8.7,21.4
Spinach,314,33.6,14.9,28.0
Oats,267,40.1,22.1,40.1
Bread,292,44.5,12.3,29.4
Chocolate,449,39.5,73.2,19.9
Butter,515,9.4,67.5,36.6
Green Tea,589,33.5,80.3,4.7
Bread,81,11.0,73.5,15.2
Chocolate,291,11.7,53.5,28.5
Popcorn,269,48.0,35.8,32.9
Bread,576,42.1,57.8,24.2
Butter,596,42.0,50.2,45.4
Tomato,312,22.6,35.5,47.5
Cookies,410,47.5,89.3,36.9
Coffee,397,9.1,32.5,42.8
Nuts,217,45.9,45.0,20.6
Oats,537,37.2,97.9,3.3
Rice,549,3.4,20.8,30.2
Pasta,412,45.3,79.1,21.6
Nuts,432,23.9,80.5,4.4
Orange,122,46.0,90.0,8.5
Popcorn,105,39.7,53.1,38.8
Bread,373,48.5,74.1,33.4
Cheese,186,26.8,38.1,11.1
Green Tea,69,30.1,11.7,7.7
Spinach,158,1.9,31.3,10.8
Pasta,361,1.9,88.7,10.6
Orange,416,9.7,80.1,45.5
Oats,426,13.5,62.8,48.2
Salmon,336,20.1,80.3,13.0
Green Tea,456,17.5,15.9,34.1
Orange Juice,464,7.5,72.2,28.8
Banana,256,17.4,38.6,4.1
Nuts,572,22.5,38.8,6.5
Salmon,459,20.3,32.4,24.4
Chicken Breast,445,10.3,54.2,2.1
Oats,197,19.5,12.2,42.2
Spinach,211,2.1,77.2,22.0
Carrot,369,18.9,90.3,17.8
Popcorn,74,24.5,22.1,7.0
Salmon,307,33.5,28.0,6.1
Milk,300,31.7,5.9,49.8
Banana,105,8.6,39.0,31.0
Quinoa,513,3.1,42.0,37.3
Yogurt,116,45.9,75.7,43.2
Strawberry,159,32.4,40.5,21.3
Carrot,437,7.9,54.9,3.5
Nuts,522,12.3,39.9,23.9
Water,206,29.6,36.1,13.6
Orange,465,27.1,33.9,16.2
Rice,259,15.6,58.6,8.3
Eggs,161,45.3,64.8,8.3
Butter,71,32.0,46.6,40.9
Milkshake,198,6.2,76.4,49.3
Strawberry,455,36.1,93.4,1.3
Pork Chop,109,43.5,41.7,3.9
Popcorn,374,42.3,52.5,19.7
Green Tea,203,17.2,36.0,23.8
Milk,271,19.3,24.9,32.8
Rice,505,30.6,14.3,19.7
Potato,479,9.8,80.2,31.3
Popcorn,583,6.0,48.8,18.6
Yogurt,86,10.3,97.0,48.1
Butter,457,23.7,10.0,28.3
Tomato,132,27.3,27.2,13.1
Pasta,165,14.3,21.6,6.5
Orange,566,44.0,74.9,11.8
Potato,390,48.5,28.8,36.3
Milk,218,45.1,6.9,37.8
Cookies,582,40.0,67.2,29.7
Grapes,148,40.5,18.8,11.0
Eggs,118,9.3,64.5,29.7
Bread,181,26.9,76.1,39.6
Beef Steak,580,44.1,55.1,35.5
Orange,412,43.9,25.9,14.1
Grapes,328,44.9,33.6,14.6
Rice,307,42.2,8.9,47.6
Tomato,188,32.8,28.5,9.8
Bread,305,11.4,62.1,37.6
Milkshake,538,19.7,58.0,8.6
Butter,291,37.4,45.6,46.8
Eggs,561,27.9,66.5,9.3
Potato,387,12.3,46.9,19.0
Carrot,344,41.3,38.2,19.0
Eggs,477,11.7,38.6,18.5
Yogurt,571,8.0,8.8,31.3
Chips,600,36.7,64.9,1.0
Orange Juice,202,5.9,51.0,31.1
Strawberry,514,12.9,55.8,49.1
Salmon,233,19.5,65.6,37.6
Bread,589,14.7,30.5,3.8
Milkshake,536,21.5,13.1,26.0
Oats,500,44.5,64.9,29.4
Banana,432,4.3,74.4,26.8
Chocolate,412,4.2,26.5,15.1
Yogurt,368,13.5,5.2,46.3
Broccoli,196,5.6,72.2,22.6
Milk,559,11.2,42.1,35.0
Carrot,517,45.6,79.6,38.1
Strawberry,515,44.2,34.0,11.2
Orange Juice,261,26.8,69.7,43.8
Green Tea,77,3.7,81.9,36.5
Cookies,155,16.0,61.3,40.0
Beef Steak,535,41.3,70.7,30.1
Chicken Breast,590,40.9,31.9,28.3
Pork Chop,457,27.8,72.6,28.5
Milk,473,3.5,88.0,3.8
Milkshake,71,37.5,14.2,28.0
Green Tea,325,32.6,95.1,24.1
Water,216,1.4,72.4,4.5
Salmon,126,33.8,78.5,5.3
Chicken Breast,228,34.1,82.5,35.1
Popcorn,551,6.1,99.9,47.5
Water,165,33.2,66.5,46.2
Pork Chop,541,15.8,36.5,1.7
Chips,117,30.5,66.1,37.1
Yogurt,420,18.6,93.4,47.9
Spinach,97,47.6,90.9,28.7
Quinoa,432,25.2,40.7,31.7
Chocolate,536,35.8,73.4,36.0
Salmon,427,43.7,18.9,32.7
Milk,220,39.1,10.1,19.8
Strawberry,160,47.7,9.0,22.9
Banana,564,47.2,55.8,2.0
Quinoa,441,25.9,15.7,20.6
Butter,68,39.1,64.1,40.1
Orange,157,4.4,18.9,1.8
Orange Juice,233,17.5,99.3,7.6
Chips,557,39.9,61.7,9.8
Carrot,278,32.9,37.7,43.0
Chocolate,135,36.9,86.8,9.9
Carrot,402,17.7,43.6,42.1
Yogurt,332,48.3,89.2,9.3
Banana,380,35.6,74.2,39.7
Eggs,135,37.3,83.6,9.3
Cookies,489,46.2,93.2,47.8
Chocolate,497,42.8,7.0,15.0
Banana,460,36.5,75.8,33.8
Potato,542,39.7,35.9,45.9
Quinoa,115,16.4,59.8,6.9
Orange,174,30.5,26.9,49.2
Cookies,155,27.8,84.6,38.4
Spinach,289,24.4,34.5,37.2
Pasta,371,29.0,80.1,16.5
Cookies,385,3.5,95.2,22.5
Carrot,234,35.1,58.9,4.9
Tomato,65,6.9,33.3,23.8
Cookies,395,49.5,6.8,40.4
Oats,62,6.0,39.0,27.5
Milkshake,583,21.7,65.7,3.6
Milk,410,16.3,94.1,11.1
Chips,403,21.8,51.5,6.9
Pork Chop,449,35.5,98.2,48.3
Cookies,403,37.7,44.9,16.0
Quinoa,201,41.3,77.7,30.8
Carrot,527,27.1,73.2,36.6
Coffee,394,40.8,60.3,30.5
Paneer,150,46.9,60.8,20.9
Bread,413,28.9,76.0,16.7
Coffee,135,34.3,8.5,34.5
Chocolate,237,39.6,85.9,9.5
Chips,301,14.2,47.7,9.4
Popcorn,330,23.6,96.0,23.0
Potato,204,11.1,88.1,49.7
Pasta,301,43.6,61.1,15.4
Banana,460,2.0,73.2,1.1
Coffee,102,20.7,41.6,36.7
Chocolate,484,8.0,61.1,35.9
Apple,133,33.2,50.1,12.5
Chocolate,356,15.5,78.9,49.9
Chocolate,598,5.0,9.4,13.6
Paneer,311,10.2,13.5,29.4
Eggs,291,48.0,69.6,22.5
Potato,349,1.9,46.1,5.5
Cheese,122,49.8,56.0,37.0
Banana,354,4.6,68.2,27.9
Pork Chop,308,43.9,10.2,44.8
Grapes,407,39.2,14.7,3.5
Grapes,583,13.5,31.5,39.6
Chicken Breast,572,12.4,19.9,21.0
Green Tea,133,3.9,53.8,12.4
Salmon,84,7.6,41.8,5.2
Yogurt,269,39.4,9.9,5.5
Chocolate,256,45.7,17.5,16.9
Bread,407,9.1,24.1,27.8
Cookies,158,44.3,30.2,43.0
Strawberry,281,22.1,82.6,16.0
Spinach,178,49.5,85.4,7.3
Milk,173,49.3,18.9,34.9
Yogurt,236,9.9,47.4,11.0
Yogurt,278,25.5,68.7,19.3
Green Tea,287,20.8,86.0,47.4
Chocolate,451,49.7,50.7,49.6
Oats,563,41.3,9.0,31.9
